generation,best,mean
0,-30.419974,-87.504026,22.467361
1,-30.419974,-75.628925,30.424181
2,-30.419974,-60.480713,28.504273
3,-30.419974,-45.99168,19.631103
4,-30.419974,-38.303409,14.54147
5,-30.419974,-37.794139,17.014995
6,-28.388951,-30.858007,1.925906
7,-28.388951,-31.414394,6.220177
8,-28.388951,-33.091736,12.872459
9,-28.388951,-30.695525,2.038397
10,-24.409739,-31.365132,9.969681
