generation,best,mean,std
0,57.16227,-0.106978,12.472013
1,57.16227,14.907163,20.69686
2,57.732142,45.657263,16.173876
3,57.732142,57.222845,0.154947
4,66.306268,57.531069,1.273743
5,66.306268,58.290435,2.358475
6,66.747727,59.622244,3.559542
7,66.747727,62.0373,4.306522
8,66.747727,66.368072,0.15318
9,66.747727,66.49086,0.216995
10,66.747727,66.747727,2e-06
