generation,best,mean,std
0,91.84704,11.513878,32.653315
1,91.772379,37.960766,32.797479
2,92.927,82.064032,20.63599
3,92.927,91.795471,0.161647
4,92.927,91.965118,0.423504
5,92.927,92.205157,0.537315
6,92.927,92.885555,0.112239
7,92.927,92.927,0.0
8,92.927,92.927,0.0
9,92.927,92.927,0.0
10,92.927,92.927,0.0
