generation,best,mean,std
0,91.84704,11.513878,32.653315
1,91.84704,64.579254,32.100041
2,91.84704,91.78958,0.03232
3,92.73194,91.854286,0.128019
4,92.73194,91.953228,0.287558
5,92.73194,92.094812,0.397319
6,92.73194,92.73194,3e-06
7,92.73194,92.73194,3e-06
8,92.73194,92.73194,3e-06
9,92.73194,92.73194,3e-06
10,92.73194,92.73194,3e-06
