generation,best,mean,std
0,56.773463,1.925769,14.35191
1,56.773463,19.740249,12.657621
2,56.775442,33.18414,14.930945
3,75.206986,54.397093,4.973077
4,75.206986,57.889521,4.375282
5,75.206986,58.648828,5.519571
6,75.206986,62.739965,8.552306
7,75.206986,74.284263,3.792998
8,75.206986,75.206986,2e-06
9,75.206986,75.206986,2e-06
10,75.206986,75.206986,2e-06
