generation,best,mean,std
0,56.773463,1.925769,14.35191
1,48.188859,11.01185,14.555664
2,56.771489,22.992912,12.073235
3,65.773463,27.630516,13.628
4,65.773463,38.589122,18.686215
5,65.773463,42.061107,18.700848
6,65.773463,48.294538,17.312219
7,65.773463,54.383205,17.096724
8,65.773463,59.551424,13.957789
9,65.773463,62.181147,13.46433
10,65.773463,64.881395,6.243914
