generation,best,mean,std
0,57.16227,-0.106978,12.472013
1,57.16227,15.892525,14.429579
2,57.16227,29.879392,13.89928
3,57.16227,51.451358,10.31548
4,66.16227,57.34227,1.26
5,66.16227,57.70227,2.137382
6,66.16227,59.50227,3.947708
7,66.16227,65.08227,2.924654
8,66.16227,66.16227,1e-06
9,66.16227,66.16227,1e-06
10,66.16227,66.16227,1e-06
