generation,best,mean,std
0,57.16227,-0.106978,12.472013
1,57.286267,7.488468,15.539207
2,66.302907,14.22163,20.676496
3,66.302907,17.773966,18.088683
4,66.302907,26.125347,17.634681
5,66.302907,34.162422,19.557515
6,66.302907,39.861192,22.834248
7,66.302907,49.47638,18.434501
8,66.601837,51.089132,21.25548
9,66.601837,57.040566,18.345258
10,66.601837,59.162477,16.880236
