generation,best,mean,std
0,56.773463,1.925769,14.35191
1,56.773463,14.918008,14.032873
2,56.881903,32.613401,15.59732
3,86.011736,56.652233,4.839172
4,87.19141,59.517066,8.295286
5,86.011736,62.009444,10.577887
6,87.011736,74.167323,12.213998
7,86.011736,85.342381,2.649385
8,86.011736,86.011736,1e-06
9,86.011736,86.011736,1e-06
10,86.011736,86.011736,1e-06
