generation,best,mean,std
0,57.16227,-0.106978,12.472013
1,57.16227,3.775335,15.809148
2,57.16227,11.194797,19.695034
3,57.2699,26.537931,25.479792
4,57.2699,31.183042,21.030776
5,57.2699,38.358175,20.477994
6,57.2699,47.737328,17.336738
7,57.2699,55.298209,9.53507
8,57.601837,56.1643,7.480961
9,57.601837,56.399027,6.369237
10,57.601837,57.358537,0.15316
