generation,best,mean,std
0,56.773463,1.925769,14.35191
1,56.773463,9.150891,19.720816
2,56.773463,8.5554,18.142769
3,56.773463,16.527738,18.548998
4,56.773463,28.271647,19.510051
5,56.773463,32.82246,17.799144
6,65.748096,36.675579,17.347413
7,65.748096,51.814115,11.105635
8,74.769519,53.585811,13.901938
9,74.769519,59.107804,4.329862
10,74.769519,58.762093,9.15416
