generation,best,mean,std
0,91.84704,11.513878,32.653315
1,91.927,25.39949,38.207609
2,91.772379,44.789263,40.224339
3,91.918596,49.843398,41.287403
4,91.918596,72.222477,34.395824
5,92.524826,78.08907,28.531594
6,91.918596,90.544207,8.556147
7,91.772379,85.65516,21.989139
8,91.772379,91.772379,4e-06
9,91.772379,87.869641,19.119431
10,91.772379,89.833466,11.43993
