generation,best,mean
0,-30.419974,-87.504026,22.467361
1,-18.397531,-75.06175,27.305771
2,-18.397531,-57.798568,28.226998
3,-22.421272,-44.060633,21.242616
4,-22.421272,-36.438147,15.884964
5,-22.421272,-37.769416,19.851739
6,-22.421272,-34.296738,19.04271
7,-20.560797,-31.153585,15.371251
8,-20.560797,-29.437422,14.296865
9,-20.560797,-29.782134,15.515786
10,-22.421272,-31.016818,19.415378
