generation,best,mean,std
0,56.773463,1.925769,14.35191
1,57.191858,4.376011,13.4542
2,57.191858,13.378497,14.958223
3,57.191858,19.719524,13.985331
4,57.191858,29.057714,18.68687
5,65.746171,38.407466,20.43115
6,65.746171,47.550336,19.311211
7,65.746171,51.785592,13.463532
8,65.746171,51.544428,18.163895
9,65.746171,54.773101,14.338495
10,65.746171,54.124654,15.150642
