generation,best,mean
0,-30.419974,-87.504026,22.467361
1,-30.419974,-85.356897,21.069074
2,-16.824363,-70.739786,28.160962
3,-16.824363,-50.199692,23.735582
4,-16.824363,-35.926939,10.93554
5,-16.824363,-35.582413,17.334099
6,-16.824363,-32.767868,17.538585
7,-16.824363,-25.01613,13.119465
8,-16.824363,-22.792799,8.017336
9,-16.824363,-27.474471,22.54818
10,-16.824363,-21.071135,9.465645
