generation,best,mean
0,0.0,-80.9,32.529832
1,0.0,-73.1,34.371354
2,0.0,-55.3,35.226552
3,0.0,-37.5,31.729324
4,0.0,-31.9,32.052925
5,0.0,-25.4,29.476092
6,0.0,-21.1,31.96545
7,0.0,-12.0,25.922963
8,0.0,-14.3,31.472369
9,0.0,-6.6,22.280934
10,0.0,-7.4,21.661948
11,0.0,-5.5,20.706279
12,0.0,-9.2,24.317895
13,0.0,-5.4,18.243903
14,0.0,-8.9,26.415715
15,0.0,-5.0,19.209373
