generation,best,mean,std
0,91.84704,11.513878,32.653315
1,91.84704,38.152552,45.218893
2,91.84704,65.112299,39.002415
3,91.84704,80.497663,30.33099
4,91.84704,86.000962,21.142202
5,91.84704,91.660943,0.950574
6,91.84704,86.355808,18.637487
7,91.84704,86.445568,20.765148
8,91.84704,87.697165,19.096735
9,91.84704,84.350483,23.144901
10,91.84704,91.84704,3e-06
